0,0
1,-0.26
2,0.57
3,0
4,0.02
5,0.05
6,-0.61
7,-0.81
8,-0.1
9,0
10,-0.44
11,-0.01
12,0.12
13,-0.05
14,0
15,-0.13
16,-0.24
17,0.06
18,0.39
19,0.42
20,-0.15
21,-0.37
22,-0.26
23,0.04
24,-0.83
25,-1.13
26,0.52
27,-0.1
28,-0.68
29,0.09
30,-0.08
31,0.08
32,0.42
33,-0.41
34,-0.44
35,-0.26
36,0.21
37,-0.26
38,0.14
39,-0.52
40,-0.34
41,0.3
42,-0.02
43,0.17
44,-0.34
45,-0.64
46,0.41
47,0.32
48,0.14
49,-0.46
50,0.56
51,0.46
52,-0.38
53,-0.23
54,-0.46
55,-0.16
56,0.14
57,-0.38
58,0
59,0
60,-0.38
61,-0.18
62,-0.69
63,-0.03
64,-0.33
65,0.06
66,0.04
67,0.23
68,0.29
69,0.07
70,-0.08
71,-0.29
72,-0.24
73,0.26
74,0.48
75,-0.02
76,-0.26
77,0.34
78,0.27
79,-0.15
80,0.35
81,-0.02
82,-0.01
83,-0.54
84,0.02
85,0.1
86,0.02
87,0.48
88,0.3
89,0.8
90,-0.02
91,-0.3
92,0.3
93,0.37
94,0.15
95,-0.17
96,-0.05
97,0.33
98,0.12
99,-0.82
100,-0.45
101,0.5
102,-0.39
103,0.18
104,-0.58
105,-0.23
106,-0.4
107,-0.53
108,-0.35
109,-0.07
110,-0.32
111,0.1
112,0.04
113,0.32
114,0.4
115,-0.33
116,0.12
117,-0.25
118,0.71
119,-0.15
120,0
121,-0.05
122,0.4
123,0.22
124,0.61
125,-0.65
126,0.1
127,-0.03
128,-0.09
129,-0.16
130,-0.21
131,0.4
132,0.08
133,0.56
134,-0.62
135,0.02
136,0.24
137,0.24
138,-0.05
139,0.11
140,-0.01
141,-0.02
142,0.28
143,-0.08
144,0.39
145,0.31
146,-0.13
147,-0.3
148,-0.27
149,-0.38
150,-0.35
151,0.35
152,0.07
153,0.37
154,-0.23
155,-0.36
156,0.47
157,-0.05
158,-0.57
159,-0.39
160,-0.29
161,0.25
162,0.08
163,0.07
164,0.24
165,-0.1
166,-0.2
167,0.23
168,-0.12
169,0.15
170,-0.1
171,0.13
172,-0.15
173,-0.01
174,0.35
